"name","comm"
"100monkeystyping.com","lib"
"12thharmonic.com/wordpress","lib"
"750volts.blogspot.com","lib"
"95theses.blogspot.com","lib"
"abbadabbaduo.blogspot.com","lib"
"aboutpolitics.blogspot.com","lib"
"achingandspinning.blogspot.com","lib"
"ackackack.com","lib"
"adamtalib.blogspot.com","lib"
"adviceforlefty.blogspot.com","lib"
"agonist.org","lib"
"aintnobaddude.com","lib"
"ajbenjaminjr.blogspot.com","lib"
"alicublog.blogspot.com","lib"
"allanjenkins.typepad.com","lib"
"allspinzone.blogspot.com","lib"
"alphapredator.com/wdtgw.htm","lib"
"alternateworlds.blogspot.com","lib"
"althippo.blogspot.com","lib"
"alvintostig.typepad.com","lib"
"americablog.blogspot.com","lib"
"americablog.org","lib"
"americanmuslim.blogs.com","lib"
"americanpolitics.com","lib"
"americansforbayh.blogspot.com","lib"
"amleft.blogspot.com","lib"
"amliberal.com/blog","lib"
"amptoons.com/blog","lib"
"anarchyxero.robfindlay.org","lib"
"andifeelfine.blogspot.com","lib"
"andymatic.com","lib"
"angrybear.blogspot.com","lib"
"angrydesi.typepad.com","lib"
"angryfinger.org","lib"
"angryhomo.blogspot.com","lib"
"annatopia.com/home.html","lib"
"anoldsoul.blogspot.com","lib"
"anonymoussources.blogspot.com","lib"
"answerguy.blogspot.com","lib"
"anybodybutbushyall.blogspot.com","lib"
"anywhichway.net","lib"
"arancaytar.blogspot.com","lib"
"archpundit.com","lib"
"arkansastonight.com","lib"
"askhoudari.blogspot.com","lib"
"astroturf.uni.cc","lib"
"atease.blogspot.com","lib"
"atrios.blogspot.com","lib"
"atrios.blogspot.com/ ","lib"
"awards5.tripod.com/tarasblog","lib"
"b-patton.blogspot.com","lib"
"bakshi.us/redskunk","lib"
"barkingdingo.blogspot.com","lib"
"bartcop.com","lib"
"battleground-wisconsin.blogspot.com","lib"
"battlegroundstates.blogspot.com","lib"
"beastsbelly.blogspot.com","lib"
"bentcorner.blogspot.com","lib"
"bettyblog.com","lib"
"billmon.org","lib"
"billsrants.blogspot.com","lib"
"blog.dccc.org","lib"
"blog.dennisfox.net","lib"
"blog.glinka.com","lib"
"blog.johnkerry.com","lib"
"blog.kenlan.net","lib"
"blog.mintruth.com","lib"
"blog.veggiedude.com","lib"
"blog01.kintera.com/dnccblog","lib"
"blog01.kintera.com/emilysblog","lib"
"bloganonymous.com","lib"
"blogforamerica.com","lib"
"blogforarizona.com","lib"
"blogfreeordie.blogspot.com","lib"
"blogitics.com","lib"
"blogs.salon.com/0002874","lib"
"blogs.salon.com/0003364","lib"
"blogslut.com","lib"
"blosteam.blogspot.com","lib"
"bluegrassroots.blogspot.com","lib"
"bluelemur.com","lib"
"blueoregon.com","lib"
"bluestateredstate.blogspot.com","lib"
"bodyandsoul.typepad.com","lib"
"boffo.typepad.com","lib"
"boloboffin.blogspot.com","lib"
"bopnews.com","lib"
"boston.com/news/blogs/dnc","lib"
"bowles2004.com/weblog","lib"
"boycottsbg.com","lib"
"bradcarson.com/blog","lib"
"bradfriedman.com/bradblog","lib"
"brilliantatbreakfast.blogspot.com","lib"
"browncross.com/usualsuspects","lib"
"btcnews.com/btcnews","lib"
"bullmooseblog.com","lib"
"burntorangereport.com","lib"
"bushlies.net/pages/10/index.htm","lib"
"bushmisunderestimated.blogspot.com","lib"
"busybusybusy.com","lib"
"buzzmachine.com","lib"
"carpetblogger.com","lib"
"cbaker.org/blog","lib"
"cemonitor.blogspot.com","lib"
"centerpiece.blogspot.com","lib"
"changeforamerica.com/blog","lib"
"charleypatton.blogspot.com","lib"
"charlineandjamie.com/dotnetweb01a/blogdisplay.aspx?logname=jamie&#38;logcatid=48","lib"
"chepooka.com","lib"
"chiron.typepad.com","lib"
"churchofcriticalthinking.com","lib"
"clarified.blogspot.com","lib"
"claudialong.com/blog","lib"
"cleancutkid.com","lib"
"collegedems.com/blog","lib"
"conniptions.net","lib"
"conservativessuck.blogspot.com","lib"
"contrapositive.blogspot.com","lib"
"corrente.blogspot.com","lib"
"counterspin.blogspot.com","lib"
"crankylittleblog.blogspot.com","lib"
"criticalviewer.com","lib"
"crookedtimber.org","lib"
"crooksandliars.com","lib"
"dailyblatt.blogspot.com","lib"
"dailyhowler.com","lib"
"dailykos.com","lib"
"dailywarnews.blogspot.com","lib"
"damntheman.net","lib"
"dashnier.blogspot.com","lib"
"davidsirota.com","lib"
"dawnofnewamerica.blogspot.com","lib"
"deathpenaltyusa.blogspot.com","lib"
"debunker.net","lib"
"dedspace.blogspot.com","lib"
"delraysteve.com/blog","lib"
"demagogue.blogspot.com","lib"
"demleft.blogspot.com","lib"
"democraticunderground.com","lib"
"democratreport.blogspot.com","lib"
"democrats.org/blog","lib"
"democratvoice.org","lib"
"dems2000.net","lib"
"dems2004.org/blog","lib"
"denisdekat.com","lib"
"dewar.journalspace.com","lib"
"digbysblog.blogspot.com","lib"
"digestiblenews.blogspot.com","lib"
"digitaljay.blogspot.com","lib"
"dimmykarras.blogspot.com","lib"
"dir.salon.com/topics/joe_conason/index.html","lib"
"discourse.net","lib"
"diypolitics.blogdrive.com","lib"
"dneiwert.blogspot.com","lib"
"dogfight04.typepad.com","lib"
"dohiyimir.typepad.com","lib"
"dolphinsdock.com/blog","lib"
"donkey2004.blogspot.com","lib"
